GEOG_ID,AIRO_AI_ID,ED_Ward,ED_WARD_ID,County_UD,Country,Owner Occupier with Mortgage (Households),Owner Occupier No Mortgage (Households),Private Rented,Social Rented,Rented Free of Rent (Households),Total (Households),% Owner Occupier with Mortgage (Households),% Owner Occupier No Mortgage (Households),% Private Rented,% Social Rented,% Rented Free of Rent (Households),% Total (Households)
N00000335,18823,Whitespots,95BB23,Ards,NI,43,72,12,4,4,136,31.6,52.9,8.8,2.9,2.9,100
N00000336,18824,Whitespots,95BB23,Ards,NI,46,79,5,1,0,131,35.1,60.3,3.8,0.8,0,100
N00000337,18825,Whitespots,95BB23,Ards,NI,47,69,3,0,1,120,39.2,57.5,2.5,0,0.8,100
N00000338,18826,Whitespots,95BB23,Ards,NI,48,72,8,0,1,129,37.2,55.8,6.2,0,0.8,100
N00000339,18827,Whitespots,95BB23,Ards,NI,46,61,13,1,1,122,37.7,50,10.7,0.8,0.8,100
N00000340,18828,Whitespots,95BB23,Ards,NI,51,73,12,0,1,138,37,52.9,8.7,0,0.7,100
N00000341,18829,Whitespots,95BB23,Ards,NI,63,63,2,1,1,130,48.5,48.5,1.5,0.8,0.8,100
N00000342,18830,Whitespots,95BB23,Ards,NI,86,33,11,0,1,133,64.7,24.8,8.3,0,0.8,100
N00000343,18831,Whitespots,95BB23,Ards,NI,58,50,9,1,1,122,47.5,41,7.4,0.8,0.8,100
N00000344,18832,Abbey Park,95CC01,Armagh,NI,36,29,34,27,2,128,28.1,22.7,26.6,21.1,1.6,100
N00000345,18833,Abbey Park,95CC01,Armagh,NI,43,50,37,31,2,163,26.4,30.7,22.7,19,1.2,100
N00000346,18834,Abbey Park,95CC01,Armagh,NI,110,43,50,0,5,209,52.6,20.6,23.9,0,2.4,100
N00000347,18835,Abbey Park,95CC01,Armagh,NI,23,40,30,30,6,130,17.7,30.8,23.1,23.1,4.6,100
N00000348,18836,Abbey Park,95CC01,Armagh,NI,44,47,32,1,1,125,35.2,37.6,25.6,0.8,0.8,100
N00000349,18837,Abbey Park,95CC01,Armagh,NI,59,54,28,7,1,149,39.6,36.2,18.8,4.7,0.7,100
N00000350,18838,Ballymartrim,95CC02,Armagh,NI,78,61,12,16,2,169,46.2,36.1,7.1,9.5,1.2,100
N00000351,18839,Ballymartrim,95CC02,Armagh,NI,50,62,17,5,3,137,36.5,45.3,12.4,3.6,2.2,100
N00000352,18840,Ballymartrim,95CC02,Armagh,NI,59,64,13,1,5,142,41.5,45.1,9.2,0.7,3.5,100
N00000353,18841,Ballymartrim,95CC02,Armagh,NI,46,71,14,1,8,140,32.9,50.7,10,0.7,5.7,100
N00000354,18842,Ballymartrim,95CC02,Armagh,NI,51,70,9,0,3,133,38.3,52.6,6.8,0,2.3,100
N00000355,18843,Ballymartrim,95CC02,Armagh,NI,39,90,18,3,4,154,25.3,58.4,11.7,1.9,2.6,100
N00000356,18844,Callan Bridge,95CC03,Armagh,NI,48,15,28,46,5,146,32.9,10.3,19.2,31.5,3.4,100
N00000357,18845,Callan Bridge,95CC03,Armagh,NI,126,78,149,91,5,452,27.9,17.3,33,20.1,1.1,100
N00000358,18846,Callan Bridge,95CC03,Armagh,NI,32,26,28,48,6,140,22.9,18.6,20,34.3,4.3,100
N00000359,18847,Callan Bridge,95CC03,Armagh,NI,50,75,109,140,14,389,12.9,19.3,28,36,3.6,100
N00000360,18848,Carrigatuke,95CC04,Armagh,NI,53,60,11,2,4,130,40.8,46.2,8.5,1.5,3.1,100
N00000361,18849,Carrigatuke,95CC04,Armagh,NI,38,49,31,24,6,148,25.7,33.1,20.9,16.2,4.1,100
N00000362,18850,Carrigatuke,95CC04,Armagh,NI,41,66,11,2,6,126,32.5,52.4,8.7,1.6,4.8,100
N00000363,18851,Carrigatuke,95CC04,Armagh,NI,66,76,1,2,5,150,44,50.7,0.7,1.3,3.3,100
N00000364,18852,Carrigatuke,95CC04,Armagh,NI,45,90,9,2,4,150,30,60,6,1.3,2.7,100
N00000365,18853,Carrigatuke,95CC04,Armagh,NI,25,37,11,12,1,86,29.1,43,12.8,14,1.2,100
N00000366,18854,Charlemont,95CC05,Armagh,NI,79,53,32,16,6,187,42.2,28.3,17.1,8.6,3.2,100
N00000367,18855,Charlemont,95CC05,Armagh,NI,39,57,30,14,2,143,27.3,39.9,21,9.8,1.4,100
N00000368,18856,Charlemont,95CC05,Armagh,NI,70,88,6,1,5,170,41.2,51.8,3.5,0.6,2.9,100
N00000369,18857,Charlemont,95CC05,Armagh,NI,43,79,13,3,3,141,30.5,56,9.2,2.1,2.1,100
N00000370,18858,Charlemont,95CC05,Armagh,NI,61,78,22,2,9,172,35.5,45.3,12.8,1.2,5.2,100
N00000371,18859,Charlemont,95CC05,Armagh,NI,53,70,12,2,3,141,37.6,49.6,8.5,1.4,2.1,100
N00000372,18860,Demesne,95CC06,Armagh,NI,75,39,20,0,1,135,55.6,28.9,14.8,0,0.7,100
N00000373,18861,Demesne,95CC06,Armagh,NI,69,68,36,1,4,178,38.8,38.2,20.2,0.6,2.2,100
N00000374,18862,Demesne,95CC06,Armagh,NI,67,49,14,2,0,132,50.8,37.1,10.6,1.5,0,100
N00000375,18863,Demesne,95CC06,Armagh,NI,32,82,16,0,4,134,23.9,61.2,11.9,0,3,100
N00000376,18864,Demesne,95CC06,Armagh,NI,45,54,13,2,1,116,38.8,46.6,11.2,1.7,0.9,100
N00000377,18865,Demesne,95CC06,Armagh,NI,33,68,12,1,5,119,27.7,57.1,10.1,0.8,4.2,100
N00000378,18866,Demesne,95CC06,Armagh,NI,31,15,23,46,2,118,26.3,12.7,19.5,39,1.7,100
N00000379,18867,Demesne,95CC06,Armagh,NI,98,44,19,0,2,164,59.8,26.8,11.6,0,1.2,100
N00000380,18868,Derrynoose,95CC07,Armagh,NI,73,78,13,2,2,168,43.5,46.4,7.7,1.2,1.2,100
N00000381,18869,Derrynoose,95CC07,Armagh,NI,121,64,72,68,8,333,36.3,19.2,21.6,20.4,2.4,100
N00000382,18870,Derrynoose,95CC07,Armagh,NI,66,89,21,1,6,183,36.1,48.6,11.5,0.5,3.3,100
N00000383,18871,Derrynoose,95CC07,Armagh,NI,40,81,7,12,4,144,27.8,56.3,4.9,8.3,2.8,100
N00000384,18872,Derrynoose,95CC07,Armagh,NI,54,68,16,2,5,145,37.2,46.9,11,1.4,3.4,100
N00000385,18873,Derrynoose,95CC07,Armagh,NI,55,69,9,0,2,135,40.7,51.1,6.7,0,1.5,100
N00000386,18874,Downs,95CC08,Armagh,NI,34,30,29,22,7,125,27.2,24,23.2,17.6,5.6,100
N00000387,18875,Downs,95CC08,Armagh,NI,30,44,15,14,3,106,28.3,41.5,14.2,13.2,2.8,100
N00000388,18876,Downs,95CC08,Armagh,NI,175,147,138,125,16,603,29,24.4,22.9,20.7,2.7,100
N00000389,18877,Downs,95CC08,Armagh,NI,67,41,19,24,5,156,42.9,26.3,12.2,15.4,3.2,100
N00000390,18878,Hamiltonsbawn,95CC09,Armagh,NI,131,159,20,0,11,321,40.8,49.5,6.2,0,3.4,100
N00000391,18879,Hamiltonsbawn,95CC09,Armagh,NI,70,89,9,0,5,173,40.5,51.4,5.2,0,2.9,100
N00000392,18880,Hamiltonsbawn,95CC09,Armagh,NI,228,167,85,29,7,518,44,32.2,16.4,5.6,1.4,100
N00000393,18881,Hamiltonsbawn,95CC09,Armagh,NI,58,89,22,2,7,178,32.6,50,12.4,1.1,3.9,100
N00000394,18882,Hockley,95CC10,Armagh,NI,40,85,13,0,3,141,28.4,60.3,9.2,0,2.1,100
N00000395,18883,Hockley,95CC10,Armagh,NI,41,81,15,2,3,142,28.9,57,10.6,1.4,2.1,100
N00000396,18884,Hockley,95CC10,Armagh,NI,38,82,6,1,6,134,28.4,61.2,4.5,0.7,4.5,100
N00000397,18885,Hockley,95CC10,Armagh,NI,81,77,26,2,3,189,42.9,40.7,13.8,1.1,1.6,100
N00000398,18886,Hockley,95CC10,Armagh,NI,71,72,14,5,3,165,43,43.6,8.5,3,1.8,100
N00000399,18887,Hockley,95CC10,Armagh,NI,41,51,19,14,5,130,31.5,39.2,14.6,10.8,3.8,100
N00000400,18888,Keady,95CC11,Armagh,NI,22,31,15,32,9,112,19.6,27.7,13.4,28.6,8,100
N00000401,18889,Keady,95CC11,Armagh,NI,33,43,18,19,4,117,28.2,36.8,15.4,16.2,3.4,100
N00000402,18890,Keady,95CC11,Armagh,NI,19,50,40,9,3,123,15.4,40.7,32.5,7.3,2.4,100
N00000403,18891,Keady,95CC11,Armagh,NI,64,76,48,10,9,208,30.8,36.5,23.1,4.8,4.3,100
N00000404,18892,Keady,95CC11,Armagh,NI,31,46,21,16,7,121,25.6,38,17.4,13.2,5.8,100
