GEOG_ID,AIRO_AI_ID,ED_Ward,ED_WARD_ID,County_UD,Country,Owner Occupier with Mortgage (Households),Owner Occupier No Mortgage (Households),Private Rented,Social Rented,Rented Free of Rent (Households),Total (Households),% Owner Occupier with Mortgage (Households),% Owner Occupier No Mortgage (Households),% Private Rented,% Social Rented,% Rented Free of Rent (Households),% Total (Households)
N00001095,19583,Cliftonville,95GG17,Belfast,NI,50,38,40,11,6,145,34.5,26.2,27.6,7.6,4.1,100
N00001096,19584,Cliftonville,95GG17,Belfast,NI,76,46,2,3,0,128,59.4,35.9,1.6,2.3,0,100
N00001097,19585,Cliftonville,95GG17,Belfast,NI,51,44,14,12,0,121,42.1,36.4,11.6,9.9,0,100
N00001098,19586,Cliftonville,95GG17,Belfast,NI,41,49,11,30,2,135,30.4,36.3,8.1,22.2,1.5,100
N00001099,19587,Cliftonville,95GG17,Belfast,NI,58,38,25,1,1,125,46.4,30.4,20,0.8,0.8,100
N00001100,19588,Cliftonville,95GG17,Belfast,NI,57,51,3,2,1,114,50,44.7,2.6,1.8,0.9,100
N00001101,19589,Cliftonville,95GG17,Belfast,NI,62,33,12,11,1,120,51.7,27.5,10,9.2,0.8,100
N00001102,19590,Cliftonville,95GG17,Belfast,NI,36,37,36,148,8,265,13.6,14,13.6,55.8,3,100
N00001103,19591,Cliftonville,95GG17,Belfast,NI,22,11,38,25,3,100,22,11,38,25,3,100
N00001104,19592,Cliftonville,95GG17,Belfast,NI,50,41,10,26,3,130,38.5,31.5,7.7,20,2.3,100
N00001105,19593,Cliftonville,95GG17,Belfast,NI,43,16,22,45,3,129,33.3,12.4,17.1,34.9,2.3,100
N00001106,19594,Clonard,95GG18,Belfast,NI,29,24,37,38,1,129,22.5,18.6,28.7,29.5,0.8,100
N00001107,19595,Clonard,95GG18,Belfast,NI,43,30,21,44,2,142,30.3,21.1,14.8,31,1.4,100
N00001108,19596,Clonard,95GG18,Belfast,NI,37,24,29,8,5,104,35.6,23.1,27.9,7.7,4.8,100
N00001109,19597,Clonard,95GG18,Belfast,NI,38,12,13,73,9,145,26.2,8.3,9,50.3,6.2,100
N00001110,19598,Clonard,95GG18,Belfast,NI,34,30,29,49,3,146,23.3,20.5,19.9,33.6,2.1,100
N00001111,19599,Clonard,95GG18,Belfast,NI,73,30,31,132,10,277,26.4,10.8,11.2,47.7,3.6,100
N00001112,19600,Clonard,95GG18,Belfast,NI,30,32,34,29,5,130,23.1,24.6,26.2,22.3,3.8,100
N00001113,19601,Clonard,95GG18,Belfast,NI,123,43,125,290,18,600,20.5,7.2,20.8,48.3,3,100
N00001114,19602,Clonard,95GG18,Belfast,NI,34,32,52,12,2,134,25.4,23.9,38.8,9,1.5,100
N00001115,19603,Clonard,95GG18,Belfast,NI,24,43,27,13,1,108,22.2,39.8,25,12,0.9,100
N00001116,19604,Clonard,95GG18,Belfast,NI,43,38,41,96,9,228,18.9,16.7,18,42.1,3.9,100
N00001117,19605,Crumlin,95GG19,Belfast,NI,59,39,27,206,36,367,16.1,10.6,7.4,56.1,9.8,100
N00001118,19606,Crumlin,95GG19,Belfast,NI,23,32,27,35,4,121,19,26.4,22.3,28.9,3.3,100
N00001119,19607,Crumlin,95GG19,Belfast,NI,4,11,5,65,13,98,4.1,11.2,5.1,66.3,13.3,100
N00001120,19608,Crumlin,95GG19,Belfast,NI,13,15,9,74,11,122,10.7,12.3,7.4,60.7,9,100
N00001121,19609,Crumlin,95GG19,Belfast,NI,11,13,12,80,8,124,8.9,10.5,9.7,64.5,6.5,100
N00001122,19610,Crumlin,95GG19,Belfast,NI,10,18,24,59,13,124,8.1,14.5,19.4,47.6,10.5,100
N00001123,19611,Crumlin,95GG19,Belfast,NI,17,5,3,73,7,105,16.2,4.8,2.9,69.5,6.7,100
N00001124,19612,Crumlin,95GG19,Belfast,NI,63,21,33,113,9,245,25.7,8.6,13.5,46.1,3.7,100
N00001125,19613,Crumlin,95GG19,Belfast,NI,31,13,40,72,8,169,18.3,7.7,23.7,42.6,4.7,100
N00001126,19614,Crumlin,95GG19,Belfast,NI,7,3,6,92,7,115,6.1,2.6,5.2,80,6.1,100
N00001127,19615,Crumlin,95GG19,Belfast,NI,14,10,22,251,15,315,4.4,3.2,7,79.7,4.8,100
N00001128,19616,Crumlin,95GG19,Belfast,NI,12,10,5,93,7,129,9.3,7.8,3.9,72.1,5.4,100
N00001129,19617,Crumlin,95GG19,Belfast,NI,28,13,12,139,11,205,13.7,6.3,5.9,67.8,5.4,100
N00001130,19618,Duncairn,95GG20,Belfast,NI,9,7,12,60,0,88,10.2,8,13.6,68.2,0,100
N00001131,19619,Duncairn,95GG20,Belfast,NI,40,22,230,204,12,510,7.8,4.3,45.1,40,2.4,100
N00001132,19620,Duncairn,95GG20,Belfast,NI,9,12,8,85,11,125,7.2,9.6,6.4,68,8.8,100
N00001133,19621,Duncairn,95GG20,Belfast,NI,68,28,59,148,11,316,21.5,8.9,18.7,46.8,3.5,100
N00001134,19622,Duncairn,95GG20,Belfast,NI,37,33,30,6,3,109,33.9,30.3,27.5,5.5,2.8,100
N00001135,19623,Duncairn,95GG20,Belfast,NI,7,8,9,65,5,94,7.4,8.5,9.6,69.1,5.3,100
N00001136,19624,Duncairn,95GG20,Belfast,NI,10,25,38,74,4,151,6.6,16.6,25.2,49,2.6,100
N00001137,19625,Duncairn,95GG20,Belfast,NI,9,3,10,102,11,135,6.7,2.2,7.4,75.6,8.1,100
N00001138,19626,Duncairn,95GG20,Belfast,NI,3,1,4,95,11,114,2.6,0.9,3.5,83.3,9.6,100
N00001139,19627,Duncairn,95GG20,Belfast,NI,97,32,34,36,6,210,46.2,15.2,16.2,17.1,2.9,100
N00001140,19628,Duncairn,95GG20,Belfast,NI,22,12,17,85,0,137,16.1,8.8,12.4,62,0,100
N00001141,19629,Duncairn,95GG20,Belfast,NI,17,27,20,26,1,92,18.5,29.3,21.7,28.3,1.1,100
N00001142,19630,Duncairn,95GG20,Belfast,NI,13,19,12,60,5,109,11.9,17.4,11,55,4.6,100
N00001143,19631,Duncairn,95GG20,Belfast,NI,7,1,7,41,4,60,11.7,1.7,11.7,68.3,6.7,100
N00001144,19632,Duncairn,95GG20,Belfast,NI,9,9,7,75,9,109,8.3,8.3,6.4,68.8,8.3,100
N00001145,19633,Falls,95GG21,Belfast,NI,23,16,8,84,6,137,16.8,11.7,5.8,61.3,4.4,100
N00001146,19634,Falls,95GG21,Belfast,NI,24,11,6,77,14,133,18,8.3,4.5,57.9,10.5,100
N00001147,19635,Falls,95GG21,Belfast,NI,25,26,28,44,2,127,19.7,20.5,22,34.6,1.6,100
N00001148,19636,Falls,95GG21,Belfast,NI,17,9,4,76,6,112,15.2,8,3.6,67.9,5.4,100
N00001149,19637,Falls,95GG21,Belfast,NI,21,8,4,94,3,130,16.2,6.2,3.1,72.3,2.3,100
N00001150,19638,Falls,95GG21,Belfast,NI,17,4,9,92,0,123,13.8,3.3,7.3,74.8,0,100
N00001151,19639,Falls,95GG21,Belfast,NI,35,15,10,90,2,154,22.7,9.7,6.5,58.4,1.3,100
N00001152,19640,Falls,95GG21,Belfast,NI,36,12,4,91,5,148,24.3,8.1,2.7,61.5,3.4,100
N00001153,19641,Falls,95GG21,Belfast,NI,33,14,7,73,9,136,24.3,10.3,5.1,53.7,6.6,100
N00001154,19642,Falls,95GG21,Belfast,NI,27,12,8,63,4,114,23.7,10.5,7,55.3,3.5,100
N00001155,19643,Falls,95GG21,Belfast,NI,42,35,144,88,13,324,13,10.8,44.4,27.2,4,100
N00001156,19644,Falls,95GG21,Belfast,NI,120,60,24,386,30,624,19.2,9.6,3.8,61.9,4.8,100
N00001157,19645,Falls Park,95GG22,Belfast,NI,42,50,15,1,4,113,37.2,44.2,13.3,0.9,3.5,100
N00001158,19646,Falls Park,95GG22,Belfast,NI,43,57,8,2,2,112,38.4,50.9,7.1,1.8,1.8,100
N00001159,19647,Falls Park,95GG22,Belfast,NI,65,47,13,8,3,136,47.8,34.6,9.6,5.9,2.2,100
N00001160,19648,Falls Park,95GG22,Belfast,NI,43,33,24,65,6,171,25.1,19.3,14,38,3.5,100
N00001161,19649,Falls Park,95GG22,Belfast,NI,43,23,36,10,4,117,36.8,19.7,30.8,8.5,3.4,100
N00001162,19650,Falls Park,95GG22,Belfast,NI,31,34,16,1,2,84,36.9,40.5,19,1.2,2.4,100
N00001163,19651,Falls Park,95GG22,Belfast,NI,19,24,10,121,10,185,10.3,13,5.4,65.4,5.4,100
N00001164,19652,Falls Park,95GG22,Belfast,NI,69,29,17,2,1,120,57.5,24.2,14.2,1.7,0.8,100
N00001165,19653,Falls Park,95GG22,Belfast,NI,56,57,7,5,2,129,43.4,44.2,5.4,3.9,1.6,100
N00001166,19654,Falls Park,95GG22,Belfast,NI,115,85,33,18,3,255,45.1,33.3,12.9,7.1,1.2,100
N00001167,19655,Falls Park,95GG22,Belfast,NI,57,60,5,1,1,125,45.6,48,4,0.8,0.8,100
N00001168,19656,Falls Park,95GG22,Belfast,NI,49,11,4,60,2,126,38.9,8.7,3.2,47.6,1.6,100
N00001169,19657,Falls Park,95GG22,Belfast,NI,58,41,14,3,1,119,48.7,34.5,11.8,2.5,0.8,100
N00001170,19658,Falls Park,95GG22,Belfast,NI,65,36,4,17,4,128,50.8,28.1,3.1,13.3,3.1,100
N00001171,19659,Falls Park,95GG22,Belfast,NI,61,44,17,50,4,179,34.1,24.6,9.5,27.9,2.2,100
N00001172,19660,Falls Park,95GG22,Belfast,NI,58,42,4,0,2,109,53.2,38.5,3.7,0,1.8,100
N00001173,19661,Finaghy,95GG23,Belfast,NI,45,51,13,0,0,109,41.3,46.8,11.9,0,0,100
N00001174,19662,Finaghy,95GG23,Belfast,NI,56,54,4,2,1,117,47.9,46.2,3.4,1.7,0.9,100
N00001175,19663,Finaghy,95GG23,Belfast,NI,45,57,9,1,0,113,39.8,50.4,8,0.9,0,100
N00001176,19664,Finaghy,95GG23,Belfast,NI,43,62,3,2,1,111,38.7,55.9,2.7,1.8,0.9,100
N00001177,19665,Finaghy,95GG23,Belfast,NI,49,54,11,1,1,116,42.2,46.6,9.5,0.9,0.9,100
N00001178,19666,Finaghy,95GG23,Belfast,NI,68,67,8,0,1,146,46.6,45.9,5.5,0,0.7,100
N00001179,19667,Finaghy,95GG23,Belfast,NI,54,47,5,3,3,112,48.2,42,4.5,2.7,2.7,100
N00001180,19668,Finaghy,95GG23,Belfast,NI,20,26,22,22,6,97,20.6,26.8,22.7,22.7,6.2,100
N00001181,19669,Finaghy,95GG23,Belfast,NI,33,43,8,25,3,112,29.5,38.4,7.1,22.3,2.7,100
N00001182,19670,Finaghy,95GG23,Belfast,NI,58,51,2,0,1,112,51.8,45.5,1.8,0,0.9,100
N00001183,19671,Finaghy,95GG23,Belfast,NI,73,71,34,17,5,202,36.1,35.1,16.8,8.4,2.5,100
N00001184,19672,Finaghy,95GG23,Belfast,NI,44,56,9,2,0,112,39.3,50,8,1.8,0,100
N00001185,19673,Finaghy,95GG23,Belfast,NI,30,79,12,6,2,130,23.1,60.8,9.2,4.6,1.5,100
N00001186,19674,Finaghy,95GG23,Belfast,NI,41,55,12,1,0,110,37.3,50,10.9,0.9,0,100
N00001187,19675,Finaghy,95GG23,Belfast,NI,50,53,15,2,1,122,41,43.4,12.3,1.6,0.8,100
N00001188,19676,Fortwilliam,95GG24,Belfast,NI,102,150,27,68,6,356,28.7,42.1,7.6,19.1,1.7,100
N00001189,19677,Fortwilliam,95GG24,Belfast,NI,56,52,5,1,2,116,48.3,44.8,4.3,0.9,1.7,100
N00001190,19678,Fortwilliam,95GG24,Belfast,NI,63,42,32,2,1,140,45,30,22.9,1.4,0.7,100
N00001191,19679,Fortwilliam,95GG24,Belfast,NI,37,49,23,5,4,120,30.8,40.8,19.2,4.2,3.3,100
N00001192,19680,Fortwilliam,95GG24,Belfast,NI,47,45,21,2,1,118,39.8,38.1,17.8,1.7,0.8,100
N00001193,19681,Fortwilliam,95GG24,Belfast,NI,30,36,48,3,0,117,25.6,30.8,41,2.6,0,100
N00001194,19682,Fortwilliam,95GG24,Belfast,NI,42,57,16,0,1,116,36.2,49.1,13.8,0,0.9,100
N00001195,19683,Fortwilliam,95GG24,Belfast,NI,15,17,34,26,3,95,15.8,17.9,35.8,27.4,3.2,100
N00001196,19684,Fortwilliam,95GG24,Belfast,NI,57,71,15,1,2,146,39,48.6,10.3,0.7,1.4,100
N00001197,19685,Fortwilliam,95GG24,Belfast,NI,30,31,58,7,2,129,23.3,24,45,5.4,1.6,100
N00001198,19686,Fortwilliam,95GG24,Belfast,NI,71,51,14,3,1,140,50.7,36.4,10,2.1,0.7,100
N00001199,19687,Fortwilliam,95GG24,Belfast,NI,20,35,38,7,1,101,19.8,34.7,37.6,6.9,1,100
N00001200,19688,Fortwilliam,95GG24,Belfast,NI,68,40,9,20,2,139,48.9,28.8,6.5,14.4,1.4,100
N00001201,19689,Fortwilliam,95GG24,Belfast,NI,45,58,8,0,1,112,40.2,51.8,7.1,0,0.9,100
N00001202,19690,Glen Road,95GG25,Belfast,NI,26,9,10,64,7,116,22.4,7.8,8.6,55.2,6,100
N00001203,19691,Glen Road,95GG25,Belfast,NI,42,33,24,19,2,120,35,27.5,20,15.8,1.7,100
N00001204,19692,Glen Road,95GG25,Belfast,NI,139,120,43,81,7,393,35.4,30.5,10.9,20.6,1.8,100
N00001205,19693,Glen Road,95GG25,Belfast,NI,73,83,28,49,3,239,30.5,34.7,11.7,20.5,1.3,100
N00001206,19694,Glen Road,95GG25,Belfast,NI,38,21,7,34,0,102,37.3,20.6,6.9,33.3,0,100
N00001207,19695,Glen Road,95GG25,Belfast,NI,73,44,4,3,1,125,58.4,35.2,3.2,2.4,0.8,100
N00001208,19696,Glen Road,95GG25,Belfast,NI,49,41,12,16,2,121,40.5,33.9,9.9,13.2,1.7,100
N00001209,19697,Glen Road,95GG25,Belfast,NI,45,29,10,27,2,114,39.5,25.4,8.8,23.7,1.8,100
N00001210,19698,Glen Road,95GG25,Belfast,NI,65,35,3,17,4,126,51.6,27.8,2.4,13.5,3.2,100
N00001211,19699,Glen Road,95GG25,Belfast,NI,49,46,11,18,3,128,38.3,35.9,8.6,14.1,2.3,100
N00001212,19700,Glen Road,95GG25,Belfast,NI,62,32,6,24,2,127,48.8,25.2,4.7,18.9,1.6,100
N00001213,19701,Glen Road,95GG25,Belfast,NI,45,13,5,62,4,130,34.6,10,3.8,47.7,3.1,100
N00001214,19702,Glen Road,95GG25,Belfast,NI,39,32,6,35,3,116,33.6,27.6,5.2,30.2,2.6,100
N00001215,19703,Glen Road,95GG25,Belfast,NI,27,26,9,39,3,104,26,25,8.7,37.5,2.9,100
N00001216,19704,Glen Road,95GG25,Belfast,NI,92,16,15,6,0,133,69.2,12,11.3,4.5,0,100
N00001217,19705,Glencairn,95GG26,Belfast,NI,43,37,44,33,3,160,26.9,23.1,27.5,20.6,1.9,100
N00001218,19706,Glencairn,95GG26,Belfast,NI,44,49,7,1,2,104,42.3,47.1,6.7,1,1.9,100
N00001219,19707,Glencairn,95GG26,Belfast,NI,24,19,9,80,2,136,17.6,14,6.6,58.8,1.5,100
N00001220,19708,Glencairn,95GG26,Belfast,NI,25,18,10,52,4,110,22.7,16.4,9.1,47.3,3.6,100
N00001221,19709,Glencairn,95GG26,Belfast,NI,9,18,16,76,5,124,7.3,14.5,12.9,61.3,4,100
N00001222,19710,Glencairn,95GG26,Belfast,NI,20,10,9,46,3,88,22.7,11.4,10.2,52.3,3.4,100
N00001223,19711,Glencairn,95GG26,Belfast,NI,34,36,8,41,3,126,27,28.6,6.3,32.5,2.4,100
N00001224,19712,Glencairn,95GG26,Belfast,NI,39,33,39,12,0,124,31.5,26.6,31.5,9.7,0,100
N00001225,19713,Glencairn,95GG26,Belfast,NI,18,35,11,58,5,127,14.2,27.6,8.7,45.7,3.9,100
N00001226,19714,Glencairn,95GG26,Belfast,NI,32,36,39,9,0,116,27.6,31,33.6,7.8,0,100
N00001227,19715,Glencairn,95GG26,Belfast,NI,14,30,8,51,7,110,12.7,27.3,7.3,46.4,6.4,100
N00001228,19716,Glencairn,95GG26,Belfast,NI,15,15,9,48,2,89,16.9,16.9,10.1,53.9,2.2,100
N00001229,19717,Glencairn,95GG26,Belfast,NI,38,39,11,28,2,119,31.9,32.8,9.2,23.5,1.7,100
N00001230,19718,Glencairn,95GG26,Belfast,NI,48,57,6,7,2,121,39.7,47.1,5,5.8,1.7,100
N00001231,19719,Glencolin,95GG27,Belfast,NI,57,28,5,38,1,130,43.8,21.5,3.8,29.2,0.8,100
N00001232,19720,Glencolin,95GG27,Belfast,NI,78,15,1,3,2,99,78.8,15.2,1,3,2,100
N00001233,19721,Glencolin,95GG27,Belfast,NI,99,14,5,4,0,122,81.1,11.5,4.1,3.3,0,100
N00001234,19722,Glencolin,95GG27,Belfast,NI,81,9,11,31,2,136,59.6,6.6,8.1,22.8,1.5,100
N00001235,19723,Glencolin,95GG27,Belfast,NI,174,44,23,106,3,353,49.3,12.5,6.5,30,0.8,100
N00001236,19724,Glencolin,95GG27,Belfast,NI,62,10,13,40,4,131,47.3,7.6,9.9,30.5,3.1,100
N00001237,19725,Glencolin,95GG27,Belfast,NI,45,33,7,37,1,123,36.6,26.8,5.7,30.1,0.8,100
N00001238,19726,Glencolin,95GG27,Belfast,NI,45,25,5,31,4,110,40.9,22.7,4.5,28.2,3.6,100
N00001239,19727,Glencolin,95GG27,Belfast,NI,50,58,3,4,1,117,42.7,49.6,2.6,3.4,0.9,100
N00001240,19728,Glencolin,95GG27,Belfast,NI,195,53,56,179,12,500,39,10.6,11.2,35.8,2.4,100
N00001241,19729,Glencolin,95GG27,Belfast,NI,48,26,5,53,1,133,36.1,19.5,3.8,39.8,0.8,100
N00001242,19730,Glencolin,95GG27,Belfast,NI,54,26,6,31,3,122,44.3,21.3,4.9,25.4,2.5,100
N00001243,19731,Glencolin,95GG27,Belfast,NI,50,25,7,38,2,123,40.7,20.3,5.7,30.9,1.6,100
N00001244,19732,Glencolin,95GG27,Belfast,NI,30,26,15,54,8,133,22.6,19.5,11.3,40.6,6,100
N00001245,19733,Glencolin,95GG27,Belfast,NI,45,26,14,44,4,135,33.3,19.3,10.4,32.6,3,100
N00001246,19734,Highfield,95GG28,Belfast,NI,118,64,64,4,1,261,45.2,24.5,24.5,1.5,0.4,100
N00001247,19735,Highfield,95GG28,Belfast,NI,24,23,8,55,5,115,20.9,20,7,47.8,4.3,100
N00001248,19736,Highfield,95GG28,Belfast,NI,90,43,9,1,2,146,61.6,29.5,6.2,0.7,1.4,100
N00001249,19737,Highfield,95GG28,Belfast,NI,77,65,7,0,3,152,50.7,42.8,4.6,0,2,100
N00001250,19738,Highfield,95GG28,Belfast,NI,111,33,15,3,0,165,67.3,20,9.1,1.8,0,100
N00001251,19739,Highfield,95GG28,Belfast,NI,33,30,8,47,4,122,27,24.6,6.6,38.5,3.3,100
N00001252,19740,Highfield,95GG28,Belfast,NI,43,46,20,19,2,131,32.8,35.1,15.3,14.5,1.5,100
N00001253,19741,Highfield,95GG28,Belfast,NI,23,24,7,54,6,115,20,20.9,6.1,47,5.2,100
N00001254,19742,Highfield,95GG28,Belfast,NI,60,40,6,7,0,113,53.1,35.4,5.3,6.2,0,100
N00001255,19743,Highfield,95GG28,Belfast,NI,34,59,11,16,1,123,27.6,48,8.9,13,0.8,100
N00001256,19744,Highfield,95GG28,Belfast,NI,43,58,2,3,1,108,39.8,53.7,1.9,2.8,0.9,100
N00001257,19745,Highfield,95GG28,Belfast,NI,22,6,6,68,8,110,20,5.5,5.5,61.8,7.3,100
N00001258,19746,Highfield,95GG28,Belfast,NI,21,13,3,76,5,118,17.8,11,2.5,64.4,4.2,100
N00001259,19747,Highfield,95GG28,Belfast,NI,15,16,5,86,6,129,11.6,12.4,3.9,66.7,4.7,100
N00001260,19748,Highfield,95GG28,Belfast,NI,20,17,9,88,2,136,14.7,12.5,6.6,64.7,1.5,100
N00001261,19749,Highfield,95GG28,Belfast,NI,13,23,15,61,3,116,11.2,19.8,12.9,52.6,2.6,100
N00001262,19750,Highfield,95GG28,Belfast,NI,59,45,15,43,0,165,35.8,27.3,9.1,26.1,0,100
N00001263,19751,Island,95GG29,Belfast,NI,53,30,27,22,3,138,38.4,21.7,19.6,15.9,2.2,100
N00001264,19752,Island,95GG29,Belfast,NI,18,4,27,35,3,88,20.5,4.5,30.7,39.8,3.4,100
N00001265,19753,Island,95GG29,Belfast,NI,44,14,184,201,16,461,9.5,3,39.9,43.6,3.5,100
N00001266,19754,Island,95GG29,Belfast,NI,8,1,1,75,5,90,8.9,1.1,1.1,83.3,5.6,100
N00001267,19755,Island,95GG29,Belfast,NI,17,9,6,115,4,152,11.2,5.9,3.9,75.7,2.6,100
N00001268,19756,Island,95GG29,Belfast,NI,9,15,10,115,5,154,5.8,9.7,6.5,74.7,3.2,100
N00001269,19757,Island,95GG29,Belfast,NI,72,61,114,15,8,271,26.6,22.5,42.1,5.5,3,100
N00001270,19758,Island,95GG29,Belfast,NI,37,27,41,43,6,154,24,17.5,26.6,27.9,3.9,100
N00001271,19759,Island,95GG29,Belfast,NI,199,65,233,177,15,696,28.6,9.3,33.5,25.4,2.2,100
N00001272,19760,Island,95GG29,Belfast,NI,38,33,39,5,1,118,32.2,28,33.1,4.2,0.8,100
N00001273,19761,Island,95GG29,Belfast,NI,35,28,24,18,3,108,32.4,25.9,22.2,16.7,2.8,100
N00001274,19762,Knock,95GG30,Belfast,NI,25,37,8,44,6,122,20.5,30.3,6.6,36.1,4.9,100
N00001275,19763,Knock,95GG30,Belfast,NI,33,30,8,31,3,107,30.8,28,7.5,29,2.8,100
N00001276,19764,Knock,95GG30,Belfast,NI,31,25,5,27,3,91,34.1,27.5,5.5,29.7,3.3,100
N00001277,19765,Knock,95GG30,Belfast,NI,54,45,4,4,1,108,50,41.7,3.7,3.7,0.9,100
N00001278,19766,Knock,95GG30,Belfast,NI,63,49,4,2,1,120,52.5,40.8,3.3,1.7,0.8,100
N00001279,19767,Knock,95GG30,Belfast,NI,9,8,6,68,7,98,9.2,8.2,6.1,69.4,7.1,100
N00001280,19768,Knock,95GG30,Belfast,NI,20,17,4,62,14,117,17.1,14.5,3.4,53,12,100
N00001281,19769,Knock,95GG30,Belfast,NI,48,43,13,25,3,132,36.4,32.6,9.8,18.9,2.3,100
N00001282,19770,Knock,95GG30,Belfast,NI,45,58,30,13,2,148,30.4,39.2,20.3,8.8,1.4,100
N00001283,19771,Knock,95GG30,Belfast,NI,63,53,12,0,1,129,48.8,41.1,9.3,0,0.8,100
N00001284,19772,Knock,95GG30,Belfast,NI,71,50,24,0,2,147,48.3,34,16.3,0,1.4,100
N00001285,19773,Knock,95GG30,Belfast,NI,67,62,7,0,3,139,48.2,44.6,5,0,2.2,100
N00001286,19774,Knock,95GG30,Belfast,NI,58,68,13,0,2,141,41.1,48.2,9.2,0,1.4,100
N00001287,19775,Knock,95GG30,Belfast,NI,54,60,7,2,1,124,43.5,48.4,5.6,1.6,0.8,100
N00001288,19776,Knock,95GG30,Belfast,NI,49,60,5,1,1,117,41.9,51.3,4.3,0.9,0.9,100
N00001289,19777,Knock,95GG30,Belfast,NI,57,54,6,2,1,120,47.5,45,5,1.7,0.8,100
N00001290,19778,Knock,95GG30,Belfast,NI,53,61,6,1,2,123,43.1,49.6,4.9,0.8,1.6,100
N00001291,19779,Ladybrook,95GG31,Belfast,NI,69,30,9,9,1,118,58.5,25.4,7.6,7.6,0.8,100
N00001292,19780,Ladybrook,95GG31,Belfast,NI,189,40,52,16,1,300,63,13.3,17.3,5.3,0.3,100
N00001293,19781,Ladybrook,95GG31,Belfast,NI,71,51,4,1,1,128,55.5,39.8,3.1,0.8,0.8,100
N00001294,19782,Ladybrook,95GG31,Belfast,NI,47,73,5,1,2,128,36.7,57,3.9,0.8,1.6,100
N00001295,19783,Ladybrook,95GG31,Belfast,NI,55,54,9,0,0,119,46.2,45.4,7.6,0,0,100
N00001296,19784,Ladybrook,95GG31,Belfast,NI,38,34,9,36,4,122,31.1,27.9,7.4,29.5,3.3,100
N00001297,19785,Ladybrook,95GG31,Belfast,NI,64,47,5,9,5,130,49.2,36.2,3.8,6.9,3.8,100
N00001298,19786,Ladybrook,95GG31,Belfast,NI,30,19,18,90,4,162,18.5,11.7,11.1,55.6,2.5,100
N00001299,19787,Ladybrook,95GG31,Belfast,NI,40,33,10,43,6,135,29.6,24.4,7.4,31.9,4.4,100
N00001300,19788,Ladybrook,95GG31,Belfast,NI,46,66,3,2,0,119,38.7,55.5,2.5,1.7,0,100
N00001301,19789,Ladybrook,95GG31,Belfast,NI,57,70,4,1,0,132,43.2,53,3,0.8,0,100
N00001302,19790,Ladybrook,95GG31,Belfast,NI,59,17,15,157,8,257,23,6.6,5.8,61.1,3.1,100
N00001303,19791,Ladybrook,95GG31,Belfast,NI,38,20,5,62,7,133,28.6,15,3.8,46.6,5.3,100
N00001304,19792,Ladybrook,95GG31,Belfast,NI,53,59,5,6,2,125,42.4,47.2,4,4.8,1.6,100
N00001305,19793,Ladybrook,95GG31,Belfast,NI,44,59,10,4,2,119,37,49.6,8.4,3.4,1.7,100
N00001306,19794,Ladybrook,95GG31,Belfast,NI,16,8,7,70,5,106,15.1,7.5,6.6,66,4.7,100
N00001307,19795,Ladybrook,95GG31,Belfast,NI,39,4,15,69,1,130,30,3.1,11.5,53.1,0.8,100
N00001308,19796,Legoniel,95GG32,Belfast,NI,76,60,11,59,3,210,36.2,28.6,5.2,28.1,1.4,100
N00001309,19797,Legoniel,95GG32,Belfast,NI,47,23,24,54,5,153,30.7,15,15.7,35.3,3.3,100
N00001310,19798,Legoniel,95GG32,Belfast,NI,138,74,40,69,3,335,41.2,22.1,11.9,20.6,0.9,100
N00001311,19799,Legoniel,95GG32,Belfast,NI,17,5,8,82,5,120,14.2,4.2,6.7,68.3,4.2,100
N00001312,19800,Legoniel,95GG32,Belfast,NI,50,15,66,101,6,244,20.5,6.1,27,41.4,2.5,100
N00001313,19801,Legoniel,95GG32,Belfast,NI,73,29,41,40,6,195,37.4,14.9,21,20.5,3.1,100
N00001314,19802,Legoniel,95GG32,Belfast,NI,53,11,19,52,4,142,37.3,7.7,13.4,36.6,2.8,100
N00001315,19803,Legoniel,95GG32,Belfast,NI,40,33,6,26,8,114,35.1,28.9,5.3,22.8,7,100
N00001316,19804,Legoniel,95GG32,Belfast,NI,29,25,38,92,8,194,14.9,12.9,19.6,47.4,4.1,100
N00001317,19805,Legoniel,95GG32,Belfast,NI,39,54,16,5,1,115,33.9,47,13.9,4.3,0.9,100
N00001318,19806,Legoniel,95GG32,Belfast,NI,32,39,38,14,8,133,24.1,29.3,28.6,10.5,6,100
N00001319,19807,Legoniel,95GG32,Belfast,NI,50,37,19,7,5,118,42.4,31.4,16.1,5.9,4.2,100
N00001320,19808,Legoniel,95GG32,Belfast,NI,40,53,5,2,1,101,39.6,52.5,5,2,1,100
N00001321,19809,Legoniel,95GG32,Belfast,NI,47,43,8,10,0,108,43.5,39.8,7.4,9.3,0,100
N00001322,19810,Legoniel,95GG32,Belfast,NI,31,18,23,59,2,133,23.3,13.5,17.3,44.4,1.5,100
N00001323,19811,Legoniel,95GG32,Belfast,NI,40,36,20,19,6,121,33.1,29.8,16.5,15.7,5,100
N00001324,19812,Legoniel,95GG32,Belfast,NI,35,60,15,3,0,113,31,53.1,13.3,2.7,0,100
N00001325,19813,Malone,95GG33,Belfast,NI,187,202,86,7,8,491,38.1,41.1,17.5,1.4,1.6,100
N00001326,19814,Malone,95GG33,Belfast,NI,33,82,8,1,1,125,26.4,65.6,6.4,0.8,0.8,100
